Vị trí tuyển dụng,Chuyên ngành,Địa điểm,Mức lương,Tiếng Nhật / Tiếng Anh,Số lượng,Giới tính,Giờ làm việc,Ngày nghỉ,Tăng ca,Tăng lương,Thưởng,Hỗ trợ nhà ở,Mô tả / Yêu cầu,Trạng thái
Kỹ sư Vận hành máy - NVCT,Cơ khí,Yamanashi,Nenshu 350-600man,N2,2,Nam,8:00 - 17:00,Theo lịch công ty,10-45h/tháng,Có,Không,2man/tháng,Vận hành và bảo trì máy móc công nghiệp. Công ty có nhiều trợ cấp,active
Kỹ sư xây dựng,Xây dựng,Mie - Komono,1300y/h,N4,2,Nam,8:00 - 17:00,Theo lịch công ty,10-45h/tháng,Có,Không,2man/tháng,Vệ sinh sửa chữa giàn giáo tại công trình,active
Lập trình viên Web/Mobile,Lập trình viên,Osaka,250.000 - 350.000,N2,2,Không yêu cầu,Linh hoạt (remote/hybrid),Thứ 7 & Chủ nhật,Không bắt buộc,Hàng năm,Thưởng hiệu suất,Hỗ trợ tìm nhà,Phát triển ứng dụng web/mobile. Tech stack: React Node.js hoặc Java Spring. Môi trường quốc tế,active
