Tên đơn hàng,Ngành nghề,Tỉnh / Thành phố,Mức lương (¥/tháng),Tiếng Nhật yêu cầu,Số lượng tuyển,Giới tính,Giờ làm việc,Ngày nghỉ,Tăng ca,Tăng lương,Thưởng,Hỗ trợ nhà ở,Mô tả công việc,Trạng thái
Làm bánh mỳ,Chế biến thực phẩm,Osaka,20man,N4,5,Nam,8:00 - 17:00,Thứ 7 & Chủ nhật,Có,Có,Cuối năm,Miễn phí,Sản xuất các loại bánh mỳ theo dây chuyền công nghiệp,active
Làm bánh mochi,Chế biến thực phẩm,Tokyo,,N5,6,Nam,8:00 - 17:00,Thứ 7 & Chủ nhật,Có,Có,Không,Hỗ trợ,Sản xuất bánh mochi truyền thống tại nhà máy,active
Công nhân nông nghiệp,Nông nghiệp,Aichi,160.000 - 190.000,N5,10,Không yêu cầu,8 tiếng/ngày,Thứ 7 & Chủ nhật,Có,Theo năng lực,Không,Miễn phí,Trồng và thu hoạch rau củ tại trang trại. Phù hợp người mới không cần kinh nghiệm,active
Hộ lý tại viện dưỡng lão,Điều dưỡng,Kanagawa,195.000 - 230.000,N3,4,Nữ ưu tiên,8 tiếng/ngày (ca),2 ngày/tuần,Có,6 tháng/lần,Có,Gần nơi làm,Chăm sóc người cao tuổi tại viện dưỡng lão. Được đào tạo nghiệp vụ tại chỗ,active
